ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Joined,Loaned From,Contract Valid Until,Height,Weight,Release Clause,Kit Number,Best Overall Rating
192985,K. De Bruyne,31,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,91,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€107.5M,€350K,2303,Right,4,5,4,High/ High,Unique,Yes,<span class="pos pos13">RCM,30-Aug-15,nan,2025,181cm,70kg,€198.9M,17,nan
188545,R. Lewandowski,33,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,91,91,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€84M,€420K,2205,Right,5,4,4,High/ Medium,Unique,Yes,<span class="pos pos25">ST,18-Jul-22,nan,2025,185cm,81kg,€172.2M,9,nan
158023,L. Messi,35,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,91,91,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€54M,€195K,2190,Left,5,4,4,Low/ Low,Unique,Yes,<span class="pos pos23">RW,10-Aug-21,nan,2023,169cm,67kg,€99.9M,30,nan
231747,K. Mbappé,23,https://cdn.sofifa.net/players/231/747/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,91,95,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€190.5M,€230K,2177,Right,4,4,5,High/ Low,Unique,Yes,<span class="pos pos25">ST,1-Jul-18,nan,2025,182cm,73kg,€366.7M,7,nan
165153,K. Benzema,34,https://cdn.sofifa.net/players/165/153/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,91,91,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€64M,€450K,2147,Right,4,4,4,Medium/ Medium,Normal (170-185),Yes,<span class="pos pos21">CF,9-Jul-09,nan,2023,185cm,81kg,€131.2M,9,nan
209331,M. Salah,30,https://cdn.sofifa.net/players/209/331/23_60.png,Egypt,https://cdn.sofifa.net/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€115.5M,€270K,2226,Left,4,3,4,High/ Medium,Unique,Yes,<span class="pos pos23">RW,1-Jul-17,nan,2023,175cm,71kg,€213.7M,11,nan
20801,Cristiano Ronaldo,37,https://cdn.sofifa.net/players/020/801/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,90,90,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€41M,€220K,2159,Right,5,4,5,High/ Low,Unique,Yes,<span class="pos pos25">ST,27-Aug-21,nan,2023,187cm,83kg,€77.9M,7,nan
203376,V. van Dijk,30,https://cdn.sofifa.net/players/203/376/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,90,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€98M,€230K,2117,Right,4,3,2,Medium/ High,Unique,Yes,<span class="pos pos6">LCB,1-Jan-18,nan,2025,193cm,92kg,€181.3M,4,nan
167495,M. Neuer,36,https://cdn.sofifa.net/players/167/495/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,90,90,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€13.5M,€72K,1535,Right,5,4,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,1-Jul-11,nan,2024,193cm,93kg,€22.3M,1,nan
192119,T. Courtois,30,https://cdn.sofifa.net/players/192/119/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,90,91,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€90M,€250K,1334,Left,4,3,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,9-Aug-18,nan,2026,199cm,96kg,€191.3M,1,nan
